School,G,W,TRB,SRS,SOS,Tm.,Opp.,MP,FG,FGA,3P,3PA,3P%,FT,FTA,FT%,ORB,FG%,AST,STL,BLK,TOV,PF,,,,,
North Carolina NCAA,36,29,1589,23.94,11.35,3089,2636,1445,1118,2410,312,862,0.362,541,728,0.743,477,0.464,678,252,120,473,611,,,,,
Michigan State NCAA,39,32,1579,24.93,12.34,3025,2534,1570,1071,2230,319,844,0.378,564,749,0.753,414,0.48,715,201,205,493,647,,Correlation between Wins and Total Rebounds for entire dataset,,,
Duke NCAA,38,32,1567,26.9,11.98,3143,2576,1525,1157,2418,278,903,0.308,551,803,0.686,495,0.478,606,346,257,488,595,,,,W,TRB
Texas Southern,38,24,1503,-5.55,-6.99,3102,3008,1550,1083,2379,276,852,0.324,660,988,0.668,467,0.455,591,309,114,589,679,,,W,1,
Houston NCAA,37,33,1502,18.91,4.61,2787,2258,1480,982,2203,333,939,0.355,490,697,0.703,448,0.446,548,240,161,410,705,,,TRB,0.685478033,1
South Florida,38,24,1483,5.96,1.69,2752,2553,1555,911,2120,272,819,0.332,658,1018,0.646,496,0.43,521,306,124,604,790,,,,,
UC-Irvine NCAA,37,31,1471,5.7,-2.3,2675,2353,1500,987,2159,252,701,0.359,449,640,0.702,429,0.457,479,210,153,441,673,,,,,
Buffalo NCAA,36,32,1470,15.56,2.62,3037,2550,1445,1083,2344,344,1022,0.337,527,767,0.687,452,0.462,599,263,140,433,659,,Correlation between Wins and Total Rebounds for teams with > 25 wins,,,
Gonzaga NCAA,37,33,1443,27.79,5.01,3243,2400,1480,1177,2239,287,790,0.363,602,791,0.761,354,0.526,668,278,204,394,603,,,,W,TRB
Kentucky NCAA,37,30,1428,21.43,10.29,2806,2394,1490,978,2050,215,607,0.354,635,859,0.739,427,0.477,501,220,176,466,600,,,W,1,
Saint Louis NCAA,36,23,1428,5.06,2.23,2399,2297,1440,855,2052,205,675,0.304,484,809,0.598,492,0.417,460,254,145,464,634,,,TRB,0.573419225,1
West Virginia,36,15,1425,6.94,10.57,2655,2786,1460,901,2181,269,852,0.316,584,849,0.688,519,0.413,488,223,126,557,707,,,,,
Wichita State,37,22,1417,7.72,5.91,2609,2542,1485,929,2277,276,890,0.31,475,655,0.725,452,0.408,499,174,135,446,705,,,,,
Green Bay,38,21,1406,-2.24,-0.36,3090,3036,1535,1106,2413,303,879,0.345,575,818,0.703,376,0.458,578,291,154,500,730,,Correlation between Wins and Total Rebounds for teams with < 26 wins ,,,
Utah State NCAA,35,28,1405,11.98,0.89,2753,2349,1410,959,2038,274,772,0.355,559,747,0.748,377,0.471,598,215,147,449,649,,,,25,1271
Bowling Green State,34,22,1396,4.24,0.86,2668,2496,1370,945,2134,272,762,0.357,506,755,0.67,408,0.443,427,227,90,412,596,,,W,1,
Tennessee NCAA,37,31,1391,21.55,10.16,3035,2580,1505,1106,2231,262,714,0.367,561,744,0.754,379,0.496,660,221,199,412,654,,,TRB,0.596619597,1
Florida State NCAA,37,29,1391,17.99,10.26,2771,2485,1500,960,2171,272,819,0.332,579,778,0.744,418,0.442,475,266,161,492,705,,,,,
North Carolina State,36,24,1390,14.94,6.22,2882,2568,1450,1061,2319,292,830,0.352,468,661,0.708,486,0.458,539,257,138,449,691,,,,,
Lipscomb,37,29,1378,9.21,-1.2,3076,2597,1480,1071,2230,327,876,0.373,607,801,0.758,329,0.48,654,268,108,489,633,,Correlation between Wins and Total Rebounds for teams with > 1200 TRB,,,
Kansas NCAA,36,26,1376,18.35,12.79,2725,2525,1455,989,2128,260,743,0.35,487,691,0.705,374,0.465,478,243,139,472,610,,,,29,1589
Hampton,35,18,1370,-3.34,-5.06,2847,2669,1430,966,2236,291,844,0.345,622,790,0.787,363,0.432,487,215,121,379,649,,,29,1,
