School,G,W,W-L%,PF,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,SRS,TRB,AST,STL,BLK,TOV,ORB,,,,,,,
Virginia NCAA,38,35,0.921,542,10.15,2714,2132,1535,974,2056,0.474,321,813,0.395,445,598,0.744,25.46,1326,544,211,149,342,342,,,,,,,
Houston NCAA,37,33,0.892,705,4.61,2787,2258,1480,982,2203,0.446,333,939,0.355,490,697,0.703,18.91,1502,548,240,161,410,448,,Correlation between PF and win % for entire dataset,,,,,
Gonzaga NCAA,37,33,0.892,603,5.01,3243,2400,1480,1177,2239,0.526,287,790,0.363,602,791,0.761,27.79,1443,668,278,204,394,354,,,,W-L%,PF,,
Buffalo NCAA,36,32,0.889,659,2.62,3037,2550,1445,1083,2344,0.462,344,1022,0.337,527,767,0.687,15.56,1470,599,263,140,433,452,,,W-L%,1,,,
New Mexico State NCAA,35,30,0.857,632,-2.38,2734,2259,1405,962,2092,0.46,326,977,0.334,484,714,0.678,10.05,1343,514,197,91,419,445,,,PF,0.140078935,1,,
Wofford NCAA,35,30,0.857,589,0.8,2879,2295,1410,1044,2132,0.49,385,929,0.414,406,577,0.704,13.92,1232,528,233,105,377,365,,,,,,,
Nevada NCAA,34,29,0.853,584,2.68,2723,2270,1360,924,1999,0.462,297,855,0.347,578,816,0.708,16,1274,498,211,134,352,325,,,,,,,
Murray State NCAA,33,28,0.848,527,-3.11,2727,2255,1320,988,2007,0.492,258,731,0.353,493,673,0.733,8.96,1247,591,249,149,401,351,,Correlation between PF and win % for teams with > 600 PF,,,,,
Duke NCAA,38,32,0.842,595,11.98,3143,2576,1525,1157,2418,0.478,278,903,0.308,551,803,0.686,26.9,1567,606,346,257,488,495,,,,W-L%,PF,,
UC-Irvine NCAA,37,31,0.838,673,-2.3,2675,2353,1500,987,2159,0.457,252,701,0.359,449,640,0.702,5.7,1471,479,210,153,441,429,,,W-L%,1,,,
Tennessee NCAA,37,31,0.838,654,10.16,3035,2580,1505,1106,2231,0.496,262,714,0.367,561,744,0.754,21.55,1391,660,221,199,412,379,,,PF,0.067578637,1,,
Michigan State NCAA,39,32,0.821,647,12.34,3025,2534,1570,1071,2230,0.48,319,844,0.378,564,749,0.753,24.93,1579,715,201,205,493,414,,,,,,,
Belmont NCAA,33,27,0.818,509,-2.6,2868,2439,1330,1042,2094,0.498,343,922,0.372,441,598,0.737,9.12,1275,645,220,125,376,286,,,,,,,
Texas Tech NCAA,38,31,0.816,663,9.53,2765,2261,1530,990,2110,0.469,277,759,0.365,508,694,0.732,22.79,1297,518,278,186,457,315,,Correlation between PF and win % for teams with < 600 PF,,,,,
Kentucky NCAA,37,30,0.811,600,10.29,2806,2394,1490,978,2050,0.477,215,607,0.354,635,859,0.739,21.43,1428,501,220,176,466,427,,,,W-L%,PF,,
Michigan NCAA,37,30,0.811,514,10.55,2575,2158,1480,941,2102,0.448,287,839,0.342,406,579,0.701,21.82,1307,512,225,149,334,299,,,W-L%,1,,,
North Carolina-Greensboro,36,29,0.806,631,-0.9,2738,2443,1445,997,2184,0.457,280,818,0.342,464,666,0.697,4.08,1251,453,315,140,423,399,,,PF,0.003475111,1,,
North Carolina NCAA,36,29,0.806,611,11.35,3089,2636,1445,1118,2410,0.464,312,862,0.362,541,728,0.743,23.94,1589,678,252,120,473,477,,,,,,,
Liberty NCAA,36,29,0.806,543,-3.88,2654,2209,1440,963,1977,0.487,322,873,0.369,406,524,0.775,5.27,1174,532,223,96,395,270,,,,,,,
Utah State NCAA,35,28,0.8,649,0.89,2753,2349,1410,959,2038,0.471,274,772,0.355,559,747,0.748,11.98,1405,598,215,147,449,377,,Correlation between PF and win % for teams with > 0.5 W-L%,,,,,
Louisiana State NCAA,35,28,0.8,634,9.16,2815,2558,1435,988,2162,0.457,236,740,0.319,603,802,0.752,16.5,1355,452,308,148,452,460,,,,W-L%,PF,,
Cincinnati NCAA,35,28,0.8,563,5.5,2510,2194,1410,872,2018,0.432,232,673,0.345,534,758,0.704,14.53,1264,466,214,155,365,442,,,W-L%,1,,,
Abilene Christian NCAA,34,27,0.794,635,-7.34,2502,2161,1370,897,1911,0.469,251,660,0.38,457,642,0.712,-1.91,1110,525,297,93,407,325,,,PF,0.072598263,1,,
Vermont NCAA,34,27,0.794,568,-4.18,2508,2143,1370,864,1887,0.458,273,761,0.359,507,678,0.748,4.88,1194,399,188,136,377,304,,,,,,,
Florida State NCAA,37,29,0.784,705,10.26,2771,2485,1500,960,2171,0.442,272,819,0.332,579,778,0.744,17.99,1391,475,266,161,492,418,,,,,,,
Lipscomb,37,29,0.784,633,-1.2,3076,2597,1480,1071,2230,0.48,327,876,0.373,607,801,0.758,9.21,1378,654,268,108,489,329,,Correlation between PF and win % for teams with < 0.5 W-L%,,,,,
Hofstra,35,27,0.771,526,-4.53,2919,2553,1440,998,2055,0.486,308,800,0.385,615,767,0.802,4.68,1170,492,228,122,342,305,,,,W-L%,PF,,
Virginia Commonwealth NCAA,33,25,0.758,650,2.87,2344,2044,1330,820,1872,0.438,235,771,0.305,469,669,0.701,11.96,1208,450,263,148,458,358,,,W-L%,1,,,
Toledo,33,25,0.758,517,0.71,2537,2256,1330,901,1990,0.453,325,859,0.378,410,531,0.772,8.21,1281,538,170,152,402,327,,,PF,0.076896195,1,,
Furman,33,25,0.758,481,-1.5,2562,2182,1340,930,1962,0.474,338,935,0.361,364,508,0.717,7.46,1171,524,288,137,407,326,,,,,,,
Auburn NCAA,40,30,0.75,731,10.92,3188,2750,1615,1097,2439,0.45,454,1204,0.377,540,760,0.711,20.84,1369,572,369,190,466,457,,"Results: Weak ositive correlation between W/L% and PF, strongest correlation between PF and teams under 0.5 W/L %, weakest for teams under 600 PF. PF not good indicator of W/L %.",,,,,
Washington NCAA,36,27,0.75,653,7.01,2511,2331,1445,883,1956,0.451,273,780,0.35,472,679,0.695,12.01,1129,419,323,206,479,334,,,,,,,
Northern Kentucky NCAA,35,26,0.743,664,-2.39,2747,2410,1410,979,2047,0.478,306,844,0.363,483,725,0.666,4.67,1298,592,218,139,441,364,,W-L%,,,,PF,
Montana NCAA,35,26,0.743,655,-5.05,2665,2397,1405,975,1983,0.492,287,763,0.376,428,621,0.689,1.5,1176,510,229,106,416,293,,,,,,,
Old Dominion NCAA,35,26,0.743,580,-1.18,2300,2128,1400,823,2026,0.406,264,756,0.349,388,585,0.663,3.74,1365,439,197,160,408,418,,Mean,0.512116147,,,Mean,586.0878187
Virginia Tech NCAA,35,26,0.743,532,7.79,2574,2172,1410,893,1900,0.47,327,831,0.394,461,606,0.761,19.28,1142,531,236,78,392,310,,Standard Error,0.009004863,,,Standard Error,3.207489412
Kansas State NCAA,34,25,0.735,550,9.18,2236,2025,1360,806,1878,0.429,241,721,0.334,383,574,0.667,15.39,1137,464,256,76,385,325,,Median,0.515,,,Median,581
Yale NCAA,30,22,0.733,510,-1.24,2427,2202,1215,893,1812,0.493,230,634,0.363,411,557,0.738,5.52,1157,503,177,131,392,259,,Mode,0.5,,,Mode,578
Stony Brook,33,24,0.727,631,-6.48,2364,2188,1335,815,1937,0.421,233,715,0.326,501,695,0.721,-2.1,1348,372,209,142,478,410,,Standard Deviation,0.169186021,,,Standard Deviation,60.2632548
South Dakota State,33,24,0.727,557,-4.74,2789,2425,1320,984,1965,0.501,327,802,0.408,494,635,0.778,5.92,1259,489,202,65,388,251,,Sample Variance,0.02862391,,,Sample Variance,3631.65988
Central Florida NCAA,33,24,0.727,554,5.58,2385,2128,1325,819,1763,0.465,229,628,0.365,518,798,0.649,13.37,1215,439,189,150,393,315,,Kurtosis,-0.434883352,,,Kurtosis,0.298913912
Jacksonville State,33,24,0.727,553,-5.47,2574,2283,1345,953,2063,0.462,200,634,0.315,468,630,0.743,1.59,1310,451,245,138,440,400,,Skewness,0.026118521,,,Skewness,0.437377496
College of Charleston,33,24,0.727,486,-2.95,2453,2265,1330,878,1818,0.483,227,667,0.34,470,615,0.764,2.36,1060,387,216,76,347,260,,Range,0.827,,,Range,335
Purdue NCAA,36,26,0.722,625,11.99,2760,2421,1460,967,2145,0.451,365,977,0.374,461,641,0.719,21.4,1341,518,220,143,381,421,,Minimum,0.094,,,Minimum,455
Kansas NCAA,36,26,0.722,610,12.79,2725,2525,1455,989,2128,0.465,260,743,0.35,487,691,0.705,18.35,1376,478,243,139,472,374,,Maximum,0.921,,,Maximum,790
Villanova NCAA,36,26,0.722,580,7.97,2654,2425,1455,884,2019,0.438,380,1081,0.352,506,695,0.728,14.33,1253,503,194,106,388,368,,Sum,180.777,,,Sum,206889
Fresno State,32,23,0.719,592,0.67,2448,2162,1285,847,1866,0.454,342,897,0.381,412,572,0.72,8.99,1137,457,228,111,400,300,,Count,353,,,Count,353
Utah Valley,35,25,0.714,612,-2.3,2697,2474,1400,930,1929,0.482,283,740,0.382,554,764,0.725,3,1271,484,201,89,487,318,,,,,,,
Texas State,34,24,0.706,667,-3,2470,2204,1370,876,1971,0.444,244,744,0.328,474,694,0.683,1.54,1291,493,234,84,455,409,,,,,,,
Marquette NCAA,34,24,0.706,635,6.96,2629,2363,1375,893,1969,0.454,319,822,0.388,524,692,0.757,14.78,1292,456,168,145,467,331,,,,,,,
East Tennessee State,34,24,0.706,603,-1.79,2707,2371,1375,1004,2067,0.486,274,758,0.361,425,634,0.67,5.21,1351,534,252,135,483,442,,,,,,,
Georgia State NCAA,34,24,0.706,583,0.65,2598,2491,1360,903,1968,0.459,330,859,0.384,462,694,0.666,2.44,1110,415,269,158,391,273,,,,,,,
Drake,34,24,0.706,568,-0.66,2563,2387,1385,908,1943,0.467,279,773,0.361,468,618,0.757,2.52,1214,518,180,130,449,279,,,,,,,
Davidson,34,24,0.706,539,1.96,2409,2229,1365,852,1893,0.45,312,882,0.354,393,525,0.749,6.38,1185,499,175,82,378,264,,,,,,,
Temple NCAA,33,23,0.697,581,4.93,2465,2358,1340,873,1998,0.437,247,748,0.33,472,649,0.727,8.17,1136,476,284,73,368,316,,,,,,,
UC-Santa Barbara,32,22,0.688,558,-5.55,2350,2114,1290,825,1819,0.454,204,594,0.343,496,693,0.716,-1.62,1204,431,159,106,355,379,,,,,,,
Colgate NCAA,35,24,0.686,547,-3.83,2648,2458,1415,955,1995,0.479,320,815,0.393,418,563,0.742,1.23,1240,541,213,121,456,322,,,,,,,
San Francisco,31,21,0.677,543,1.13,2358,2101,1250,864,1851,0.467,258,727,0.355,372,568,0.655,8.56,1138,439,188,105,321,340,,,,,,,
Arizona State NCAA,34,23,0.676,675,6.04,2638,2494,1380,899,2012,0.447,240,714,0.336,600,882,0.68,10.28,1351,459,213,109,466,399,,,,,,,
Mississippi State NCAA,34,23,0.676,586,9.07,2628,2394,1370,936,1982,0.472,292,774,0.377,464,647,0.717,15.96,1215,481,274,172,451,393,,,,,,,
Northeastern NCAA,34,23,0.676,539,-0.7,2564,2406,1385,880,1848,0.476,328,858,0.382,476,634,0.751,3.95,1075,480,211,74,381,237,,,,,,,
Maryland NCAA,34,23,0.676,526,10.09,2429,2228,1360,858,1909,0.449,247,707,0.349,466,627,0.743,16.01,1336,447,148,163,437,378,,,,,,,
Wisconsin NCAA,34,23,0.676,511,11.01,2333,2099,1385,874,1945,0.449,241,672,0.359,344,531,0.648,17.9,1197,430,177,140,327,283,,,,,,,
North Carolina State,36,24,0.667,691,6.22,2882,2568,1450,1061,2319,0.458,292,830,0.352,468,661,0.708,14.94,1390,539,257,138,449,486,,,,,,,
Kent State,33,22,0.667,601,0.61,2481,2417,1330,878,2032,0.432,261,775,0.337,464,641,0.724,1.26,1185,430,226,119,378,412,,,,,,,
Austin Peay,33,22,0.667,596,-4.41,2712,2413,1335,973,2060,0.472,268,702,0.382,498,705,0.706,0.59,1215,454,252,110,392,397,,,,,,,
Radford,33,22,0.667,528,-1.95,2440,2247,1330,893,1938,0.461,285,751,0.379,369,515,0.717,1.28,1170,467,196,101,358,335,,,,,,,
Oregon NCAA,38,25,0.658,665,6.13,2661,2364,1530,958,2126,0.451,295,840,0.351,450,624,0.721,13.95,1307,501,290,162,442,361,,,,,,,
Central Michigan,35,23,0.657,593,-0.34,2896,2690,1425,991,2177,0.455,305,822,0.371,609,908,0.671,2.79,1321,467,267,107,425,419,,,,,,,
Iowa NCAA,35,23,0.657,565,9.84,2740,2585,1415,914,2006,0.456,285,782,0.364,627,849,0.739,14.27,1246,542,211,112,427,357,,,,,,,
Gardner-Webb NCAA,35,23,0.657,561,-4.43,2718,2468,1430,955,1962,0.487,281,719,0.391,527,741,0.711,-2.61,1190,502,238,101,407,271,,,,,,,
Iowa State NCAA,35,23,0.657,517,9.3,2692,2385,1400,974,2047,0.476,294,811,0.363,450,615,0.732,18.07,1230,527,247,160,379,327,,,,,,,
Northern Colorado,32,21,0.656,538,-6.76,2450,2229,1295,849,1837,0.462,307,849,0.362,445,633,0.703,-3.92,1128,422,176,101,398,309,,,,,,,
Omaha,32,21,0.656,486,-3.39,2523,2454,1290,950,1998,0.475,282,719,0.392,341,473,0.721,-2.32,1047,409,180,61,304,273,,,,,,,
Loyola Marymount,34,22,0.647,602,0.9,2278,2125,1360,817,1800,0.454,163,510,0.32,481,645,0.746,2.93,1098,460,250,102,425,314,,,,,,,
Bowling Green State,34,22,0.647,596,0.86,2668,2496,1370,945,2134,0.443,272,762,0.357,506,755,0.67,4.24,1396,427,227,90,412,408,,,,,,,
Saint Mary's (CA) NCAA,34,22,0.647,572,4.4,2463,2185,1365,899,1905,0.472,253,670,0.378,412,555,0.742,12.58,1180,341,201,87,355,329,,,,,,,
Lehigh,31,20,0.645,571,-4.46,2479,2413,1250,856,1775,0.482,287,679,0.423,480,620,0.774,-2.34,1105,471,171,71,418,232,,,,,,,
Saint Louis NCAA,36,23,0.639,634,2.23,2399,2297,1440,855,2052,0.417,205,675,0.304,484,809,0.598,5.06,1428,460,254,145,464,492,,,,,,,
Colorado,36,23,0.639,616,3.6,2648,2429,1445,924,2036,0.454,230,711,0.323,570,757,0.753,9.68,1352,478,181,107,479,363,,,,,,,
Sam Houston State,33,21,0.636,659,-5.84,2476,2307,1345,889,2011,0.442,308,840,0.367,390,518,0.753,-3.17,1191,555,242,94,413,369,,,,,,,
Bucknell,33,21,0.636,627,-2.93,2534,2418,1325,867,1928,0.45,311,885,0.351,489,653,0.749,0.59,1154,519,173,116,409,286,,,,,,,
